"dataset","source","yi","vi","logrr","rr","lrr","urr","unit","type","dose0","dose","weight"
"dosresmeta::red_bc::red_bc","dosresmeta",0.182321556793955,0.0467214213223696,0.182321556793955,1.2,0.9,2.1,"servings/time","cc",0.428571428571429,51.4285714285714,21.4034584500368
"dosresmeta::red_bc::red_bc","dosresmeta",0.587786664902119,0.0655099513385277,0.587786664902119,1.8,1.1,3,"servings/time","cc",0.857142857142857,102.857142857143,15.2648564007081
"dosresmeta::red_bc::red_bc","dosresmeta",-0.0304592074847086,0.0155967743049624,-0.0304592074847086,0.97,0.76,1.24,"g per 1000 kcal","cc",27.6,55.5864,64.1158216722947
"dosresmeta::red_bc::red_bc","dosresmeta",0.0392207131532813,0.016004127288925,0.0392207131532813,1.04,0.81,1.33,"g per 1000 kcal","cc",37.4,75.3236,62.4838819353809
"dosresmeta::red_bc::red_bc","dosresmeta",0.131028262406404,0.0159441739308499,0.131028262406404,1.14,0.89,1.46,"g per 1000 kcal","cc",53,106.742,62.7188341231733
"dosresmeta::red_bc::red_bc","dosresmeta",0.157003748809665,0.0231705772729656,0.157003748809665,1.17,0.87,1.58,"g/day","cc",0.825,23.3883375,43.1581823887813
"dosresmeta::red_bc::red_bc","dosresmeta",0.385262400790645,0.0235816767490997,0.385262400790645,1.47,1.09,1.99,"g/day","cc",1.58,44.79221,42.4058056023594
"dosresmeta::red_bc::red_bc","dosresmeta",0.667829372575655,0.0268423829690937,0.667829372575655,1.95,1.41,2.68,"g/day","cc",2.53,71.724235,37.2545165290056
"dosresmeta::red_bc::red_bc","dosresmeta",0.182321556793955,0.0125763747102568,0.182321556793955,1.2,0.96,1.49,"g/day","ci",NA,74.66,79.5141702627897
"dosresmeta::red_bc::red_bc","dosresmeta",0.131028262406404,0.0128854772860926,0.131028262406404,1.14,0.91,1.42,"g/day","ci",NA,111.025,77.6067488845998
"dosresmeta::red_bc::red_bc","dosresmeta",0.139761942375159,0.0148027468961716,0.139761942375159,1.15,0.9,1.45,"g/day","ci",NA,442.71,67.5550292803176
"dosresmeta::red_bc::red_bc","dosresmeta",-0.0100503358535015,0.0144743964529751,-0.0100503358535015,0.99,0.78,1.25,"g per 1000 kcal","ci",NA,38.0171,69.0875093306192
"dosresmeta::red_bc::red_bc","dosresmeta",0.048790164169432,0.0144684802838358,0.048790164169432,1.05,0.83,1.33,"g per 1000 kcal","ci",NA,55.8433,69.115759249242
"dosresmeta::red_bc::red_bc","dosresmeta",-0.0304592074847086,0.0142770517402362,-0.0304592074847086,0.97,0.77,1.23,"g per 1000 kcal","ci",NA,76.5799,70.0424722270746
"dosresmeta::red_bc::red_bc","dosresmeta",0.198850858745165,0.0145358143657687,0.198850858745165,1.22,0.96,1.54,"g per 1000 kcal","ci",NA,112.0504,68.7955951305323
"dosresmeta::red_bc::red_bc","dosresmeta",0.104360015324243,0.025783423903258,0.104360015324243,1.11,0.81,1.52,"servings/time","ir",0.357142857142857,42.8571428571429,38.7846084271856
"dosresmeta::red_bc::red_bc","dosresmeta",0,0.0306332702412805,0,1,0.71,1.41,"servings/time","ir",0.928571428571429,111.428571428571,32.6442456885465
"dosresmeta::red_bc::red_bc","dosresmeta",0.0953101798043249,0.0324425857731667,0.0953101798043249,1.1,0.77,1.56,"g/day","cc",NA,160.3,30.8236836296539
"dosresmeta::red_bc::red_bc","dosresmeta",0.746687947487975,0.0833062905028892,0.746687947487975,2.11,1.2,3.72,"g/day","cc",NA,300.2,12.0038954317059
"dosresmeta::red_bc::red_bc","dosresmeta",0.182321556793955,0.0143762709568918,0.182321556793955,1.2,1,1.6,"servings/time","cc",0.431428571428571,51.7714285714286,69.5590673686221
"dosresmeta::red_bc::red_bc","dosresmeta",0.182321556793955,0.0169820132191838,0.182321556793955,1.2,0.9,1.5,"servings/time","cc",0.639285714285714,76.7142857142857,58.8858333280735
"dosresmeta::red_bc::red_bc","dosresmeta",0.262364264467491,0.018324180602203,0.262364264467491,1.3,1,1.7,"servings/time","cc",0.849285714285714,101.914285714286,54.572699413352
"dosresmeta::red_bc::red_bc","dosresmeta",0.0953101798043249,0.025716066808533,0.0953101798043249,1.1,0.8,1.5,"g per 1000 kcal","cc",26,63.8210023866348,38.8861954452608
"dosresmeta::red_bc::red_bc","dosresmeta",0.0953101798043249,0.025716066808533,0.0953101798043249,1.1,0.8,1.5,"g per 1000 kcal","cc",37,90.8221957040573,38.8861954452608
"dosresmeta::red_bc::red_bc","dosresmeta",0,0.0249390634802483,0,1,0.7,1.3,"g per 1000 kcal","cc",50,122.732696897375,40.0977366608814
"dosresmeta::red_bc::red_bc","dosresmeta",-0.22314355131421,0.0239102271766281,-0.22314355131421,0.8,0.6,1.1,"g per 1000 kcal","cc",70,171.825775656325,41.823107434859
"dosresmeta::red_bc::red_bc","dosresmeta",0.0972083542615687,0.00908393989905186,0.0972083542615687,1.10208997484387,0.914301187281997,1.32844879734007,"servings/time","ir",0,0,110.084391917253
"dosresmeta::red_bc::red_bc","dosresmeta",-0.117170881893308,0.00526314367769524,-0.117170881893308,0.889433192148825,0.771544119601436,1.02533527661997,"servings/time","ir",0.142857142857143,17.1428571428571,190.000513236588
"dosresmeta::red_bc::red_bc","dosresmeta",0.0807667457380958,0.00583218705405094,0.0807667457380958,1.08411799193034,0.933407633221081,1.25916242657156,"servings/time","ir",0.428571428571429,51.4285714285714,171.462264624283
"dosresmeta::red_bc::red_bc","dosresmeta",-0.064324270724308,0.0383432637188794,-0.064324270724308,0.937700881281115,0.638832258922351,1.3763909547064,"servings/time","ir",0.857142857142857,102.857142857143,26.0802003536183
"dosresmeta::red_bc::red_bc","dosresmeta",0.434382378454638,0.0445324765166685,0.434382378454638,1.54400915108669,1.02099401664657,2.33494439709795,"servings/time","ir",0,0,22.4555218622458
"dosresmeta::red_bc::red_bc","dosresmeta",0.104094633103266,0.0121586008771218,0.104094633103266,1.10970546481864,0.894023832785833,1.37741990032984,"servings/time","ir",0.142857142857143,17.1428571428571,82.2463053196895
"dosresmeta::red_bc::red_bc","dosresmeta",-0.018974239367703,0.0129764198552379,-0.018974239367703,0.981204638369137,0.784866411032822,1.22665784753126,"servings/time","ir",0.428571428571429,51.4285714285714,77.0628579497104
"dosresmeta::red_bc::red_bc","dosresmeta",-0.0692598786333431,0.0554308193295988,-0.0692598786333431,0.933084159930388,0.588187848766781,1.48021767423185,"servings/time","ir",0.857142857142857,102.857142857143,18.0405054822277
"dosresmeta::red_bc::red_bc","dosresmeta",-0.385662480811985,0.0456720298605559,-0.385662480811985,0.68,0.45,1.04,"servings/time","ir",0.428571428571429,51.4285714285714,21.8952387939218
"dosresmeta::red_bc::red_bc","dosresmeta",0.122217632724249,0.131000764357762,0.122217632724249,1.13,0.53,2.19,"servings/time","ir",0.857142857142857,102.857142857143,7.63354324612192
"dosresmeta::red_bc::red_bc","dosresmeta",0.336472236621213,0.0157839182778519,0.336472236621213,1.4,1.1,1.8,"servings/time","cc",0.714285714285714,85.7142857142857,63.355624528493
"dosresmeta::red_bc::red_bc","dosresmeta",0.470003629245736,0.0203809180785385,0.470003629245736,1.6,1.2,2.1,"servings/time","cc",1,120,49.0655031410494
