"dataset","source","yi","vi","rxxi","ryyi","weight"
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.130739850028878,0.00160513643659711,0.81,0.79,623
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.331647108705132,0.0017825311942959,0.75,0.81,561
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.741416144081269,0.00184162062615101,0.83,0.76,543
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0600721559210316,0.00174216027874564,0.83,0.82,574
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.2768638226551,0.00210970464135021,0.76,0.78,474
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0902441878561468,0.00216450216450216,0.91,0.83,462
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.331647108705132,0.00231481481481481,0.76,0.69,432
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00269541778975741,0.85,0.8,371
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.266108406873654,0.00305810397553517,0.84,0.63,327
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.522984277591344,0.00318471337579618,0.79,0.86,314
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.423648930193602,0.00240963855421687,0.7,0.78,415
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.365443754271396,0.00298507462686567,0.82,0.82,335
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.549306144334055,0.00189393939393939,0.75,0.8,528
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.562729769352149,0.00154798761609907,0.79,0.8,646
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.37688590118819,0.002,0.84,0.78,500
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.171666663500579,0.00226757369614512,0.81,0.77,441
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.287682072451781,0.0018450184501845,0.85,0.77,542
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.00179533213644524,0.82,0.84,557
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.21317134656486,0.00164473684210526,0.86,0.8,608
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.21317134656486,0.00332225913621262,0.83,0.75,301
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.00203252032520325,0.74,0.8,492
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.110446915790097,0.00167785234899329,0.77,0.79,596
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.00231481481481481,0.87,0.79,432
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.2768638226551,0.00221729490022173,0.78,0.7,451
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.331647108705132,0.00253807106598985,0.74,0.83,394
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.21317134656486,0.00235849056603774,0.78,0.73,424
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.287682072451781,0.00180505415162455,0.67,0.86,554
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.171666663500579,0.00226757369614512,0.77,0.73,441
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.2768638226551,0.00269541778975741,0.9,0.73,371
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.677666067757962,0.00230414746543779,0.79,0.69,434
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.604155602962267,0.00215982721382289,0.85,0.76,463
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.0018450184501845,0.66,0.82,542
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00168350168350168,0.83,0.78,594
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.298566263660178,0.00242130750605327,0.9,0.8,413
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.298566263660178,0.00166389351081531,0.77,0.65,601
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.287682072451781,0.00202429149797571,0.84,0.88,494
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0100003333533348,0.00216450216450216,0.77,0.66,462
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.342828254415394,0.00204498977505112,0.85,0.75,489
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00367647058823529,0.81,0.79,272
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0902441878561468,0.00173310225303293,0.84,0.82,577
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.590145159841189,0.00401606425702811,0.77,0.86,249
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0801713250375897,0.00159744408945687,0.77,0.78,626
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.907644983319124,0.00182815356489945,0.85,0.9,547
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.0015600624024961,0.75,0.71,641
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.472230804420426,0.00232018561484919,0.73,0.78,431
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.266108406873654,0.00253164556962025,0.85,0.79,395
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.120581028408444,0.00210084033613445,0.85,0.8,476
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.0023094688221709,0.83,0.69,433
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.677666067757962,0.00188679245283019,0.84,0.79,530
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.708921359427408,0.00240384615384615,0.84,0.77,416
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.549306144334055,0.00175131348511384,0.84,0.79,571
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.181982688600706,0.00208333333333333,0.81,0.82,480
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.00199203187250996,0.78,0.79,502
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.181982688600706,0.00193423597678917,0.71,0.86,517
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.223656109021832,0.00194931773879142,0.81,0.86,513
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.202732554054082,0.00206611570247934,0.81,0.78,484
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.2768638226551,0.00131752305665349,0.84,0.78,759
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.100335347731076,0.0014367816091954,0.71,0.85,696
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.00150829562594268,0.84,0.68,663
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.693147180559945,0.00253164556962025,0.83,0.8,395
"psychmeta::data_r_meas::data_r_meas","psychmeta",1.07143168405867,0.00238095238095238,0.86,0.79,420
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00226757369614512,0.78,0.74,441
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.130739850028878,0.00151745068285281,0.75,0.82,659
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.2768638226551,0.00205761316872428,0.79,0.85,486
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.37688590118819,0.00211416490486258,0.79,0.75,473
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.140925576070494,0.00171821305841924,0.81,0.76,582
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.549306144334055,0.00248138957816377,0.85,0.8,403
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.484700278594052,0.00272479564032698,0.82,0.79,367
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.549306144334055,0.00225733634311512,0.77,0.7,443
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.632833186665638,0.00198019801980198,0.87,0.81,505
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.00226757369614512,0.74,0.85,441
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.354092528962243,0.00257731958762887,0.89,0.81,388
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.0026246719160105,0.78,0.79,381
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.354092528962243,0.00210084033613445,0.72,0.71,476
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.151140435936467,0.00148588410104012,0.72,0.83,673
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.266108406873654,0.0018018018018018,0.87,0.67,555
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.223656109021832,0.00136612021857923,0.87,0.79,732
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.618381313574464,0.00178890876565295,0.86,0.86,559
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.758173744684044,0.00210526315789474,0.87,0.86,475
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.447692023527421,0.00191204588910134,0.8,0.81,523
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.758173744684044,0.00189753320683112,0.89,0.82,527
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.365443754271396,0.0027027027027027,0.79,0.8,370
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.202732554054082,0.00272479564032698,0.8,0.81,367
"psychmeta::data_r_meas::data_r_meas","psychmeta",0,0.00191570881226054,0.81,0.71,522
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0902441878561468,0.00191570881226054,0.82,0.79,522
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.618381313574464,0.0021505376344086,0.85,0.8,465
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.223656109021832,0.0017636684303351,0.79,0.79,567
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.37688590118819,0.00161290322580645,0.84,0.71,620
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00155038759689922,0.81,0.83,645
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.255412811882995,0.0014792899408284,0.84,0.77,676
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00251256281407035,0.8,0.83,398
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.0019047619047619,0.79,0.82,525
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.140925576070494,0.00246913580246914,0.73,0.82,405
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.708921359427408,0.00205761316872428,0.77,0.84,486
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.484700278594052,0.00210084033613445,0.83,0.78,476
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.775298706205584,0.00205338809034908,0.71,0.81,487
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0300090048631265,0.00252525252525253,0.8,0.79,396
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.0021551724137931,0.7,0.85,464
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0902441878561468,0.00188323917137476,0.83,0.76,531
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.522984277591344,0.00251889168765743,0.82,0.73,397
